Wilayah Jawa Barat;Indeks Kesehatan;Indeks Pengeluaran;Indeks Pendidikan;Indeks Pembangunan Manusia
;2022;2022;2022;2022
Provinsi Jawa Barat;82.34;73.81;64.32;73.12
Bogor;79.46;72.66;62.52;71.20
Sukabumi;79.29;67.62;57.73;67.64
Cianjur;77.82;64.24;57.36;65.94
Bandung;83.09;71.88;65.57;73.16
Garut;79.77;64.17;59.85;67.41
Tasikmalaya;76.85;63.99;60.74;66.84
Ciamis;80.46;68.34;66.33;71.45
Kuningan;83.12;68.95;60.27;70.16
Cirebon;80.72;72.46;58.78;70.06
Majalengka;78.09;69.98;58.97;68.56
Sumedang;81.40;72.42;65.15;72.69
Indramayu;80.23;70.64;56.85;68.55
Subang;81.42;73.85;56.72;69.87
Purwakarta;79.18;76.20;60.73;71.56
Karawang;80.95;75.52;60.39;71.74
Bekasi;83.14;75.08;68.18;75.22
Bandung Barat;81.22;67.07;60.43;69.04
Pangandaran;79.83;68.21;60.41;69.03
Kota Bogor;83.28;75.85;72.74;77.17
Kota Sukabumi;81.31;73.68;71.55;75.40
Kota Bandung;84.23;87.48;76.19;82.50
Kota Cirebon;81.14;75.93;70.93;75.89
Kota Bekasi;85.35;84.95;77.33;82.46
Kota Depok;84.49;84.36;76.96;81.86
Kota Cimahi;83.85;76.95;75.76;78.77
Kota Tasikmalaya;80.97;71.85;69.18;73.83
Kota Banjar;79.22;72.96;66.07;72.55
