Kabupaten/Kota Se Jawa Timur;Rata-rata Lama Sekolah (Tahun);Angka Harapan Hidup (Tahun);Pengeluaran Per Kapita Riil Disesuaikan (Ribu Rupiah)
;2022;2022;2022
Kabupaten Pacitan;7.82;72.48;9184
Kabupaten Ponorogo;7.77;73.20;10199
Kabupaten Trenggalek;7.89;74.26;10042
Kabupaten Tulungagung;8.65;74.54;11162
Kabupaten Blitar;7.82;73.98;11001
Kabupaten Kediri;8.23;72.97;11565
Kabupaten Malang;7.68;72.95;10326
Kabupaten Lumajang;6.87;70.61;9466
Kabupaten Jember;6.50;69.68;9840
Kabupaten Banyuwangi;7.66;71.06;12320
Kabupaten Bondowoso;6.22;67.29;10851
Kabupaten Situbondo;6.63;69.62;10263
Kabupaten Probolinggo;6.13;67.78;11254
Kabupaten Pasuruan;7.42;70.55;10726
Kabupaten Sidoarjo;10.77;74.36;14808
Kabupaten Mojokerto;8.97;72.93;13051
Kabupaten Jombang;8.76;72.86;11579
Kabupaten Nganjuk;8.12;71.95;12349
Kabupaten Madiun;7.94;71.90;11848
Kabupaten Magetan;8.66;72.97;12031
Kabupaten Ngawi;7.59;72.81;11563
Kabupaten Bojonegoro;7.43;72.16;10323
Kabupaten Tuban;7.37;71.97;10703
Kabupaten Lamongan;8.33;72.86;11648
Kabupaten Gresik;9.75;72.99;13384
Kabupaten Bangkalan;5.97;70.54;8971
Kabupaten Sampang;5.06;68.38;8944
Kabupaten Pamekasan;6.88;68.03;8967
Kabupaten Sumenep;5.93;71.99;9388
Kota Kediri;10.45;74.34;12762
Kota Blitar;10.65;74.26;14058
Kota Malang;10.69;73.75;16897
Kota Probolinggo;9.29;70.68;12571
Kota Pasuruan;9.67;71.96;13803
Kota Mojokerto;10.80;73.74;14054
Kota Madiun;11.67;73.13;16503
Kota Surabaya;10.51;74.47;18345
Kota Batu;9.63;72.97;13094
Jawa Timur;8.03;71.74;11992
